adm0,country,adm1,province,cases,outbreaks,cas.or.out,lon,lat,altitude,pop.tot,logpop,LC0,LC1,LC2,LC3,LC4,LC5,LC6,LC7,LC8,LC9,LC10,LC11,LC12,LC13,LC14,LC15,LC16,EVI.mean,adm0_adm1,surv.qual.adm0
UGA,Uganda,42,Mpigi,0,0,0,32.03964117,0.154845089,1195.838102,622971,5.79446783,0.004141043,0.000499348,0.427520531,0,0,0.001904073,0.000975509,0,0.180191551,0.001285391,0.007250591,0.00292524,0.198959193,0,0.174347724,0,0,0.44852449,UGA_42,0
UGA,Uganda,43,Mubende,0,0,0,31.728837,0.497317805,1239.477666,888265,5.94854255,0.005779562,0.003227336,0.767462469,0,7.71E-05,0.003774375,0.002008962,0.00026428,0.125166996,0.001524649,0.000319033,0.004648122,0.042045142,0,0.042780705,0,0.000921252,0.469280921,UGA_43,0
UGA,Uganda,44,Mukono,0,0,0,32.87813547,0.395131307,1165.598376,1323271,6.121648795,0.038266736,0.00353293,0.654360426,0.00022903,0,0.000233142,0,0.001445537,0.112233312,0.023649333,0.003897741,0.010143024,0.082408463,0.01895079,0.050624124,0,2.54E-05,0.460259822,UGA_44,0
UGA,Uganda,45,Nakapiripirit,0,0,0,34.69787385,1.861155412,1293.279056,225478,5.353104174,0,0.00023894,0.006729303,0,6.80E-05,0.002922821,0.019620755,0.21530709,0.100702698,0.243738016,0.245176119,0.000240467,0.138536562,0,0.021679302,0,0.005039965,0.261809331,UGA_45,0
UGA,Uganda,46,Nakasongola,0,0,0,32.46272149,1.320391447,1064.205113,187765,5.273614642,0.026938621,0.002987064,0.103958095,0,0,0.000264751,0.001397395,0,0.579769805,0.053504213,0.11378297,0.006530033,0.076600043,0,0.03041188,0,0.003854931,0.373476064,UGA_46,0
UGA,Uganda,47,Nebbi,0,0,0,31.09093441,2.450531071,1133.020306,490801,5.690905439,0.010586049,0.000462966,0.061367954,0,0,0.000462966,0.000221316,0.000517395,0.393170739,0.081603085,0.143392951,0.003541721,0.252929305,0.011055948,0.038527783,0,0.002159662,0.362790216,UGA_47,0
UGA,Uganda,48,Ntungamo,0,0,0,30.26950894,-0.928881132,1458.021481,544622,5.736095181,0.002319717,0,0.059980493,0,0,0,0,0,0.033083379,0.594107175,0.012603262,0.000463945,0.083614762,0.006872255,0.206955035,0,0,0.406370085,UGA_48,0
UGA,Uganda,49,Pader,0,1,1,33.14055024,2.88852277,1046.706505,449551,5.652778968,0,0,0.000384358,0,0,0.000271258,0.001718627,0.002025926,0.436242581,0.467216248,0.050988936,0,0.036336618,0,0.003270563,0,0.001544898,0.340958144,UGA_49,0
UGA,Uganda,50,Pallisa,0,0,0,33.87114471,1.127685374,1089.348507,806722,5.906723901,0.011197607,0.000437192,0.038646451,0.000361225,0.00410759,0.001723271,0.001004229,0.000298485,0.083151174,0.155263205,0.103225621,0.004630264,0.472612902,0,0.116921366,0,0.006419272,0.363416663,UGA_50,0
UGA,Uganda,51,Rakai,0,0,0,31.38646346,-0.598505691,1295.132744,591377,5.77186443,0.013590209,0.00013889,0.082571234,0,0.000169442,0.000275858,0.000139891,0,0.090381774,0.408115351,0.008810156,0.002971842,0.271916212,0,0.120780223,0,0.00013889,0.375561701,UGA_51,0
UGA,Uganda,52,Rukungiri,0,0,0,29.94076634,-0.824965308,1590.578515,403556,5.605903809,0.00331065,0,0.452479175,0,0,0,0,0,0.092284002,0.249385583,0,1.16E-05,0.063486522,0.004417522,0.134624873,0,0,0.453540437,UGA_52,0
UGA,Uganda,53,Sembabule,0,0,0,31.40393472,-0.133444784,1255.953519,270972,5.432924417,0,0,0.100770866,0,0,0,0.000212869,0,0.053162415,0.108170715,0.002090831,0,0.444046448,0,0.291546069,0,0,0.374163542,UGA_53,0
UGA,Uganda,54,Sironko,0,0,0,34.29026476,1.233059672,1412.03752,398059,5.599947448,0,0.000291984,0.219901788,0,0,0.001459926,0.000875955,0.004585882,0.378985476,0.088694188,0.187046536,0,0.102614803,0,0.01351845,0,0.002024962,0.381857561,UGA_54,0
UGA,Uganda,55,Soroti,0,0,0,33.51487559,1.645737129,1068.474362,515052,5.711851078,0.041977541,0.001402044,0.018680281,0.000628113,0.005355819,0.003758831,0.001911992,0.001347374,0.306813932,0.206374102,0.171343681,0.009635691,0.212504717,0,0.012965223,0,0.005300719,0.336420796,UGA_55,0
UGA,Uganda,56,Tororo,0,0,0,34.07157303,0.770770836,1129.815573,830099,5.919129891,0,0,0.030748359,0,0,0,0,0,0.117500436,0.142061319,0.118941573,0.003375731,0.404796597,0.060783041,0.120554249,0,0.001238807,0.383673625,UGA_56,0
UGA,Uganda,57,Wakiso,0,0,0,32.48633648,0.312957071,1190.345537,1269168,6.103519114,0.040645964,0.002079887,0.496258663,0,0,0.001811202,0.001109438,0.000109001,0.088885812,0.008861923,0.005469458,0.007719621,0.23236837,0.070049627,0.043440279,0,0.001190916,0.418232596,UGA_57,0
UGA,Uganda,58,Yumbe,0,0,0,31.2581307,3.496472004,883.6653229,327438,5.515129079,0,0,0.009967598,0,0.013811186,0.003775896,0.001441828,0.001313187,0.563458169,0.225593623,0.167900329,0.00545514,0,0,0,0,0.007283259,0.358445,UGA_58,0
ZAF,South Africa,1,Eastern Cape,0,0,0,27.70084028,-32.16951633,666.3380909,6894501,6.838502839,0.023674537,0.000982976,0.03340476,2.81E-05,0.023364283,0.000601124,0.005342847,0.12738882,0.056272812,0.332519503,0.214680598,0.005379931,0.033087719,0.109881064,0.030022517,0,0.003368335,0.277467543,ZAF_1,NA
ZAF,South Africa,2,Gauteng,0,0,0,28.06276437,-26.12622575,1560.057402,10003648,7.000158402,0.000155449,0,0,0,0.003187488,1.50E-05,0.001641279,0.060397389,0.00514122,0.072623935,0.025177623,0.003347198,0.029753569,0.784245862,0.012776879,0,0.001537099,0.210449623,ZAF_2,NA
ZAF,South Africa,3,KwaZulu-Natal,0,0,0,30.83754282,-29.15876647,528.216843,9687224,6.986199342,0.02772087,0.002074184,0.047655372,1.23E-05,0.029529197,0.001489161,0.005590749,0.068830817,0.108219997,0.289844999,0.049167332,0.00981158,0.10734953,0.203069143,0.042513395,0,0.007121289,0.298231302,ZAF_3,NA
